objectid,image_thumb,image_small,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
mk8842,,,Diana Rome.jpg,,,Gravestone of Diana Rome,Anonymous,1821-09-28,"Gravestone of Diana Rome (1821), daughter of Dianna Rome, located in the God's Little Acre section of the Common Burying Ground (Newport RI)",Kwon; Urn; Plant; Iconography; Vertical; African American,"Newport, RI",41.49596,-71.31631,Laura Leibman,2305,Image;stillimage,image/jpeg,eng,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mk8843,,,Abigail Faro.jpg,,,Gravestone of Abigail Faro,Anonymous,1758-10-14,"Gravestone of Abigail Gabay Faro (1758) located in Jodensavanne, Suriname. ",Kwon; Sephardi; Jew; Horizontal,"Jodensavanne, Suriname",5.43187,-54.98108,Laura Leibman,4489,Image;stillimage,image/jpeg,spa,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mk8844,,,Abigail del Castilho.jpg,,,Gravestone of Abigail del Castilho,Anonymous,1758-03-04,"Gravestone of Abigail del Castilho (1758) located in Jodensavanne Cemetery, Jodensavanne, Suriname. ",Kwon; Sephardi; Jew; Daughter; Raphael del Castilho; Horizontal; Child; Plant,"Jodensavanne, Suriname",5.43187,-54.98108,Laura Leibman,4470,Image;stillimage,image/jpeg,heb,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mk8845,,,R. A. Bodeutser.jpg,,,Gravestone of R. A. Bodeutser,Anonymous,1885-07-29,"Gravestone of R. A. Bodeutser (1885) located in the Creole Cemetery, Jodensavanne, Suriname",Kwon; Afro-Surinamese; Horizontal; Bodeutser ,"Jodensavanne, Suriname",5.43075,-54.98178,Laura Leibman,3321,Image;stillimage,image/jpeg,dut,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mk8846,,,Rebecca de la Parra.jpg,,,Gravestone of Rebecca de la Parra,Anonymous,1720-06-18,"Gravestone of Rebecca de la Parra (1720) daughter of David de la Parra in the Jodensavanne Cemetery, Jodensavanne, Suriname",Kwon; Daughter; David de la Parra; Horizontal; Sephardi,"Jodensavanne, Suriname",5.43075,-54.98178,Laura Leibman,4492,Image;stillimage,image/jpeg,spa ,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mk8847,,,Adam and Belinda Miller.jpg,,,Gravestone of Adam and Belinda Miller,Anonymous,1759-07-15,"Gravestone of Adam Miller (1799) who died at sea at the age of 43 and his wife Belinda Freebody (1807), servant of Samuel Freebody located in the God's Little Acre section of the Common Burying Ground (Newport RI)",Kwon; African American; vertical; Freebody; Miller; Protestant-Baptist,"Newport, RI",41.49596,-71.31631,Laura Leibman,2276,Image;stillimage,image/jpeg,eng,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mk8848,,,Phyllis London.jpg,,,Gravestone of Phyllis London,Anonymous,1773-03-09,"Gravestone of Phyllis Lyndon (1773) wife of Zingo Stevens, servant of Josias Lyndon Esq., age 27 and their son, Prince (1773), age 2, in the God's Little Acre section of the Common Burying Ground (Newport RI)",Kwon; Wife; Mother; Lyndon;Steven; African American,"Newport, RI",41.49596,-71.31631,Laura Leibman,2289,Image;stillimage,image/jpeg,eng,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mk8849,,,Sarah Jacob.jpg,,,Gravestone of Sarah Jacob,Anonymous,1774-09-09,"Gravestone of Sarah Jacob (1774) wife of Abraham Boss, at the age of 84, located in the God's Little Acre section of the Common Burying Ground (Newport RI)",Kwon; Wife; African American; Jacob; Boss; Vertical,"Newport, RI",41.49596,-71.31631,Laura Leibman,2268,Image;stillimage,image/jpeg,eng,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mk8850,,,Jane Coggeshall.jpg,,,Gravestone of Jane Coggeshall,Anonymous,1777-03-12,"Gravestone of Jane Coggeshall (1777) wife of Pompe Townsend, located in the God's Little Acre section of the Common Burying Ground (Newport RI)",Kwon; Wife; African American; Pompe Townsend; Coggeshall; Vertical; Cherub,"Newport, RI",41.49596,-71.31631,Laura Leibman,2288,Image;stillimage,image/jpeg,eng,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mk8851,,,Judah Ellery.jpg,,,Gravestone of Judah Ellery ,Anonymous,1750-08-30,"Gravestone of (1750) daughter of Dinah Coggeshall and Sharper Ellery, at the age of 15, located in the God's Little Acre section of the Common Burying Ground (Newport RI)",Kwon; Daughter; Ellery; Vertical; Ornamentation; African American; Cherub,"Newport, RI",41.49596,-71.31631,Laura Leibman,2283,Image;stillimage,image/jpeg,eng,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
